326 114.9992,36.07333 115.1354,36.06759 115.0062,36.18348 115.1426,36.17774
382 114.3234,36.20938 114.46,36.20457 114.3292,36.31962 114.4661,36.31481
383 114.46,36.20457 114.5966,36.19958 114.4661,36.31481 114.6029,36.30981
384 114.5966,36.19958 114.7331,36.1944 114.6029,36.30981 114.7397,36.30462
385 114.7331,36.1944 114.8696,36.18904 114.7397,36.30462 114.8764,36.29924
386 114.8696,36.18904 115.0062,36.18348 114.8764,36.29924 115.0132,36.29367
387 115.0062,36.18348 115.1426,36.17774 115.0132,36.29367 115.1499,36.28791
388 115.1426,36.17774 115.2791,36.17181 115.1499,36.28791 115.2866,36.28197
389 115.2791,36.17181 115.4155,36.16569 115.2866,36.28197 115.4233,36.27584
390 115.4155,36.16569 115.552,36.15938 115.4233,36.27584 115.5599,36.26952
439 113.7817,36.33699 113.9186,36.33293 113.7866,36.4473 113.9238,36.44323
440 113.9186,36.33293 114.0555,36.32868 113.9238,36.44323 114.0609,36.43898
441 114.0555,36.32868 114.1924,36.32425 114.0609,36.43898 114.198,36.43453
442 114.1924,36.32425 114.3292,36.31962 114.198,36.43453 114.3351,36.42989
443 114.3292,36.31962 114.4661,36.31481 114.3351,36.42989 114.4722,36.42507
444 114.4661,36.31481 114.6029,36.30981 114.4722,36.42507 114.6092,36.42006
445 114.6029,36.30981 114.7397,36.30462 114.6092,36.42006 114.7462,36.41486
446 114.7397,36.30462 114.8764,36.29924 114.7462,36.41486 114.8832,36.40947
447 114.8764,36.29924 115.0132,36.29367 114.8832,36.40947 115.0202,36.40389
448 115.0132,36.29367 115.1499,36.28791 115.0202,36.40389 115.1572,36.39812
449 115.1499,36.28791 115.2866,36.28197 115.1572,36.39812 115.2941,36.39217
450 115.2866,36.28197 115.4233,36.27584 115.2941,36.39217 115.431,36.38603
451 115.4233,36.27584 115.5599,36.26952 115.431,36.38603 115.5679,36.3797
498 113.5123,36.45487 113.6495,36.45118 113.5168,36.56522 113.6542,36.56153
499 113.6495,36.45118 113.7866,36.4473 113.6542,36.56153 113.7916,36.55764
500 113.7866,36.4473 113.9238,36.44323 113.7916,36.55764 113.929,36.55356
501 113.9238,36.44323 114.0609,36.43898 113.929,36.55356 114.0663,36.5493
502 114.0609,36.43898 114.198,36.43453 114.0663,36.5493 114.2037,36.54484
503 114.198,36.43453 114.3351,36.42989 114.2037,36.54484 114.341,36.5402
504 114.3351,36.42989 114.4722,36.42507 114.341,36.5402 114.4783,36.53537
505 114.4722,36.42507 114.6092,36.42006 114.4783,36.53537 114.6156,36.53035
506 114.6092,36.42006 114.7462,36.41486 114.6156,36.53035 114.7528,36.52514
507 114.7462,36.41486 114.8832,36.40947 114.7528,36.52514 114.8901,36.51973
508 114.8832,36.40947 115.0202,36.40389 114.8901,36.51973 115.0273,36.51414
509 115.0202,36.40389 115.1572,36.39812 115.0273,36.51414 115.1645,36.50837
510 115.1572,36.39812 115.2941,36.39217 115.1645,36.50837 115.3016,36.5024
511 115.2941,36.39217 115.431,36.38603 115.3016,36.5024 115.4388,36.49625
559 113.5168,36.56522 113.6542,36.56153 113.5213,36.67561 113.6589,36.67191
560 113.6542,36.56153 113.7916,36.55764 113.6589,36.67191 113.7965,36.66801
561 113.7916,36.55764 113.929,36.55356 113.7965,36.66801 113.9342,36.66393
562 113.929,36.55356 114.0663,36.5493 113.9342,36.66393 114.0718,36.65965
563 114.0663,36.5493 114.2037,36.54484 114.0718,36.65965 114.2093,36.65519
564 114.2037,36.54484 114.341,36.5402 114.2093,36.65519 114.3469,36.65054
565 114.341,36.5402 114.4783,36.53537 114.3469,36.65054 114.4844,36.64569
566 114.4783,36.53537 114.6156,36.53035 114.4844,36.64569 114.6219,36.64066
567 114.6156,36.53035 114.7528,36.52514 114.6219,36.64066 114.7594,36.63544
568 114.7528,36.52514 114.8901,36.51973 114.7594,36.63544 114.8969,36.63003
569 114.8901,36.51973 115.0273,36.51414 114.8969,36.63003 115.0343,36.62443
570 115.0273,36.51414 115.1645,36.50837 115.0343,36.62443 115.1718,36.61864
571 115.1645,36.50837 115.3016,36.5024 115.1718,36.61864 115.3092,36.61266
619 113.3836,36.67913 113.5213,36.67561 113.3879,36.78955 113.5258,36.78603
620 113.5213,36.67561 113.6589,36.67191 113.5258,36.78603 113.6637,36.78231
621 113.6589,36.67191 113.7965,36.66801 113.6637,36.78231 113.8015,36.77841
622 113.7965,36.66801 113.9342,36.66393 113.8015,36.77841 113.9394,36.77432
623 113.9342,36.66393 114.0718,36.65965 113.9394,36.77432 114.0772,36.77004
624 114.0718,36.65965 114.2093,36.65519 114.0772,36.77004 114.215,36.76556
625 114.2093,36.65519 114.3469,36.65054 114.215,36.76556 114.3528,36.7609
626 114.3469,36.65054 114.4844,36.64569 114.3528,36.7609 114.4906,36.75605
627 114.4844,36.64569 114.6219,36.64066 114.4906,36.75605 114.6283,36.75101
628 114.6219,36.64066 114.7594,36.63544 114.6283,36.75101 114.7661,36.74578
629 114.7594,36.63544 114.8969,36.63003 114.7661,36.74578 114.9038,36.74036
630 114.8969,36.63003 115.0343,36.62443 114.9038,36.74036 115.0415,36.73475
631 115.0343,36.62443 115.1718,36.61864 115.0415,36.73475 115.1791,36.72894
632 115.1718,36.61864 115.3092,36.61266 115.1791,36.72894 115.3167,36.72295
633 115.3092,36.61266 115.4465,36.60649 115.3167,36.72295 115.4544,36.71677
681 113.5258,36.78603 113.6637,36.78231 113.5303,36.89648 113.6684,36.89276
682 113.6637,36.78231 113.8015,36.77841 113.6684,36.89276 113.8065,36.88885
683 113.8015,36.77841 113.9394,36.77432 113.8065,36.88885 113.9446,36.88475
684 113.9394,36.77432 114.0772,36.77004 113.9446,36.88475 114.0827,36.88046
685 114.0772,36.77004 114.215,36.76556 114.0827,36.88046 114.2207,36.87597
686 114.215,36.76556 114.3528,36.7609 114.2207,36.87597 114.3588,36.8713
687 114.3528,36.7609 114.4906,36.75605 114.3588,36.8713 114.4968,36.86644
688 114.4906,36.75605 114.6283,36.75101 114.4968,36.86644 114.6348,36.86139
689 114.6283,36.75101 114.7661,36.74578 114.6348,36.86139 114.7727,36.85614
690 114.7661,36.74578 114.9038,36.74036 114.7727,36.85614 114.9107,36.85071
691 114.9038,36.74036 115.0415,36.73475 114.9107,36.85071 115.0486,36.84509
692 115.0415,36.73475 115.1791,36.72894 115.0486,36.84509 115.1865,36.83928
693 115.1791,36.72894 115.3167,36.72295 115.1865,36.83928 115.3243,36.83327
694 115.3167,36.72295 115.4544,36.71677 115.3243,36.83327 115.4622,36.82708
743 113.6684,36.89276 113.8065,36.88885 113.6732,37.00323 113.8115,36.99931
744 113.8065,36.88885 113.9446,36.88475 113.8115,36.99931 113.9499,36.9952
745 113.9446,36.88475 114.0827,36.88046 113.9499,36.9952 114.0882,36.9909
749 114.4968,36.86644 114.6348,36.86139 114.503,36.97686 114.6412,36.97179
750 114.6348,36.86139 114.7727,36.85614 114.6412,36.97179 114.7794,36.96654
751 114.7727,36.85614 114.9107,36.85071 114.7794,36.96654 114.9176,36.9611
752 114.9107,36.85071 115.0486,36.84509 114.9176,36.9611 115.0557,36.95547
753 115.0486,36.84509 115.1865,36.83928 115.0557,36.95547 115.1939,36.94964
754 115.1865,36.83928 115.3243,36.83327 115.1939,36.94964 115.332,36.94363
804 113.6732,37.00323 113.8115,36.99931 113.678,37.11373 113.8166,37.10981
805 113.8115,36.99931 113.9499,36.9952 113.8166,37.10981 113.9551,37.10569
813 114.9176,36.9611 115.0557,36.95547 114.9245,37.07152 115.0629,37.06587
814 115.0557,36.95547 115.1939,36.94964 115.0629,37.06587 115.2013,37.06004
